"BY","stock","surv","stockName","jurisdiction","smoltType","adultRunTiming","region","lat","long"
2014,"HAR",0.0432,"Harrison River Fall","BC","oceantype","Fall","LFR","49.218903","-121.945066"
1971,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1972,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1973,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1974,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1975,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1976,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1977,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1978,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1979,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1980,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1981,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1982,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1983,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1984,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1985,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1986,"DOM",0.0042,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1987,"DOM",0.0115,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1988,"DOM",0.0197,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1989,"DOM",0.0082,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1990,"DOM",0.0246,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1991,"DOM",0.0167,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1992,"DOM",0.0175,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1993,"DOM",0.0236,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1994,"DOM",0.0014,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1995,"DOM",0.0027,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1996,"DOM",0.0094,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1997,"DOM",0.0145,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1998,"DOM",0.0126,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1999,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
2000,"DOM",0.0032,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
2001,"DOM",0.0041,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
2002,"DOM",0.0036,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
2003,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
2004,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
2005,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
2006,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
2007,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
2008,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
2009,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
2010,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
2011,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
2012,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
2013,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
2014,"DOM",NA,"Dome Creek Spring","BC","streamtype","Spring","UFR","53.754022","-121.023499"
1971,"NIC",NA,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1972,"NIC",NA,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1973,"NIC",NA,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1974,"NIC",NA,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1975,"NIC",NA,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1976,"NIC",NA,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1977,"NIC",NA,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1978,"NIC",NA,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1979,"NIC",NA,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1980,"NIC",NA,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1981,"NIC",NA,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1982,"NIC",NA,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1983,"NIC",NA,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1984,"NIC",NA,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1985,"NIC",0.0383,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1986,"NIC",0.0074,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1987,"NIC",0.032,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1988,"NIC",0.0155,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1989,"NIC",0.0329,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1990,"NIC",0.0947,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1991,"NIC",0.0685,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1992,"NIC",0.0012,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1993,"NIC",0.0097,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1994,"NIC",0.013,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1995,"NIC",0.0737,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1996,"NIC",0.0572,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1997,"NIC",0.0771,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1998,"NIC",0.1554,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1999,"NIC",0.077,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
2000,"NIC",0.0103,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
2001,"NIC",0.0163,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
2002,"NIC",0.0152,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
2003,"NIC",0.0025,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
2004,"NIC",0.0239,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
2005,"NIC",0.0049,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
2006,"NIC",0.0478,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
2007,"NIC",0.014,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
2008,"NIC",0.0155,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
2009,"NIC",0.0232,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
2010,"NIC",0.006,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
2011,"NIC",0.0232,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
2012,"NIC",0.0136,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
2013,"NIC",0.0283,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
2014,"NIC",NA,"Nicola River Spring","BC","streamtype","Spring","MFR","50.427138","-121.316685"
1971,"SHU",NA,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1972,"SHU",NA,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1973,"SHU",NA,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1974,"SHU",NA,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1975,"SHU",NA,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1976,"SHU",NA,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1977,"SHU",NA,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1978,"SHU",NA,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1979,"SHU",NA,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1980,"SHU",NA,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1981,"SHU",NA,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1982,"SHU",NA,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1983,"SHU",NA,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1984,"SHU",0.067,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1985,"SHU",0.049,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1986,"SHU",0.0475,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1987,"SHU",0.0351,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1988,"SHU",0.0135,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1989,"SHU",0.0101,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1990,"SHU",0.0813,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1991,"SHU",0.009,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1992,"SHU",0.0323,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1993,"SHU",0.021,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1994,"SHU",0.0322,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1995,"SHU",0.0273,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1996,"SHU",0.0317,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1997,"SHU",0.0073,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1998,"SHU",0.0641,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1999,"SHU",0.0515,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
2000,"SHU",0.0378,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
2001,"SHU",0.0239,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
2002,"SHU",0.0432,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
2003,"SHU",0.0087,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
2004,"SHU",0.0084,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
2005,"SHU",0.0352,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
2006,"SHU",0.0281,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
2007,"SHU",0.0218,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
2008,"SHU",0.0105,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
2009,"SHU",0.0133,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
2010,"SHU",0.0552,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
2011,"SHU",0.0257,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
2012,"SHU",0.0167,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
2013,"SHU",0.0058,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
2014,"SHU",0.0423,"Lower Shuswap River Summer","BC","oceantype","Summer","MFR","50.721419","-119.046825"
1971,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1972,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1973,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1974,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1975,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1976,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1977,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1978,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1979,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1980,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1981,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1982,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1983,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1984,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1985,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1986,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1987,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1988,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1989,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1990,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1991,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1992,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1993,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1994,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1995,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1996,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1997,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1998,"STI",0.055,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1999,"STI",0.0628,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
2000,"STI",0.0577,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
2001,"STI",0.016,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
2002,"STI",0.0705,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
2003,"STI",0.033,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
2004,"STI",0.0144,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
2005,"STI",0.0236,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
2006,"STI",0.024,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
2007,"STI",0.0575,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
2008,"STI",0.0301,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
2009,"STI",0.0424,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
2010,"STI",0.0531,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
2011,"STI",0.06,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
2012,"STI",0.0596,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
2013,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
2014,"STI",NA,"Stikine Spring","AK","streamtype","Spring","TBR","56.691","-132.213"
1971,"TAK",NA,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1972,"TAK",NA,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1973,"TAK",NA,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1974,"TAK",NA,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1975,"TAK",0.1555,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1976,"TAK",0.0264,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1977,"TAK",0.0182,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1978,"TAK",0.0173,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1979,"TAK",0.0353,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1980,"TAK",0.0187,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1981,"TAK",0.1314,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1982,"TAK",NA,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1983,"TAK",NA,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1984,"TAK",NA,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1985,"TAK",NA,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1986,"TAK",NA,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1987,"TAK",NA,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1988,"TAK",NA,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1989,"TAK",NA,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1990,"TAK",NA,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1991,"TAK",0.2647,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1992,"TAK",0.1212,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1993,"TAK",0.0386,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1994,"TAK",0.0655,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1995,"TAK",0.1192,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1996,"TAK",0.1145,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1997,"TAK",0.0857,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1998,"TAK",0.1257,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1999,"TAK",0.1725,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
2000,"TAK",0.1527,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
2001,"TAK",0.0649,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
2002,"TAK",0.0376,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
2003,"TAK",0.0749,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
2004,"TAK",0.0214,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
2005,"TAK",0.0586,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
2006,"TAK",0.0343,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
2007,"TAK",0.0524,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
2008,"TAK",0.0269,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
2009,"TAK",0.0659,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
2010,"TAK",0.0551,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
2011,"TAK",0.0299,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
2012,"TAK",0.0518,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
2013,"TAK",NA,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
2014,"TAK",NA,"Taku Spring","AK","streamtype","Spring","TBR","58.4199","-133.9971"
1971,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1972,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1973,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1974,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1975,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1976,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1977,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1978,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1979,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1980,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1981,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1982,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1983,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1984,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1985,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1986,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1987,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1988,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1989,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1990,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1991,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1992,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1993,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1994,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1995,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1996,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1997,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1998,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1999,"CHK",0.0803,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
2000,"CHK",0.0625,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
2001,"CHK",0.0361,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
2002,"CHK",0.0163,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
2003,"CHK",0.0378,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
2004,"CHK",0.0318,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
2005,"CHK",0.0498,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
2006,"CHK",0.0224,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
2007,"CHK",0.0445,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
2008,"CHK",0.0197,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
2009,"CHK",0.0213,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
2010,"CHK",0.0271,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
2011,"CHK",0.0173,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
2012,"CHK",0.0154,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
2013,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
2014,"CHK",NA,"Chilkat Spring","AK","streamtype","Spring","SEAK","59.302","-135.739"
1971,"UNU",NA,"Unuk Spring","AK","streamtype","Spring","SEAK","56.0772","-131.0753"
1972,"UNU",NA,"Unuk Spring","AK","streamtype","Spring","SEAK","56.0772","-131.0753"
1973,"UNU",NA,"Unuk Spring","AK","streamtype","Spring","SEAK","56.0772","-131.0753"
1974,"UNU",NA,"Unuk Spring","AK","streamtype","Spring","SEAK","56.0772","-131.0753"
1975,"UNU",NA,"Unuk Spring","AK","streamtype","Spring","SEAK","56.0772","-131.0753"
1976,"UNU",NA,"Unuk Spring","AK","streamtype","Spring","SEAK","56.0772","-131.0753"
1977,"UNU",NA,"Unuk Spring","AK","streamtype","Spring","SEAK","56.0772","-131.0753"
1978,"UNU",NA,"Unuk Spring","AK","streamtype","Spring","SEAK","56.0772","-131.0753"
1979,"UNU",NA,"Unuk Spring","AK","streamtype","Spring","SEAK","56.0772","-131.0753"
1980,"UNU",NA,"Unuk Spring","AK","streamtype","Spring","SEAK","56.0772","-131.0753"
1981,"UNU",NA,"Unuk Spring","AK","streamtype","Spring","SEAK","56.0772","-131.0753"
1982,"UNU",0.1322,"Unuk Spring","AK","streamtype","Spring","SEAK","56.0772","-131.0753"
1983,"UNU",0.0868,"Unuk Spring","AK","streamtype","Spring","SEAK","56.0772","-131.0753"
1984,"UNU",0.0733,"Unuk Spring","AK","streamtype","Spring","SEAK","56.0772","-131.0753"
1985,"UNU",0.0184,"Unuk Spring","AK","streamtype","Spring","SEAK","56.0772","-131.0753"
1986,"UNU",0.1053,"Unuk Spring","AK","streamtype","Spring","SEAK","56.0772","-131.0753"
