"brood_year","stock","stock_name","smolt","run","region","lat","long","j_group","j_group2","j_group3","a_group","a_group2","survival","M"
"1980","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.1463175,1.92197636088475
"1981","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.05400417,2.91869401317712
"1982","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.01041375,4.56462823067516
"1983","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.3290277,1.11161333723205
"1984","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.1740223,1.74857182705998
"1985","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.2201522,1.51343615364384
"1986","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.07416236,2.60149853514566
"1987","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.03068872,3.48386011861682
"1988","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.02523474,3.67953366239338
"1989","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.07250936,2.62403962200637
"1990","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.03923546,3.23817434924561
"1991","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.03669164,3.30520634278589
"1992","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.0629727,2.76505397983996
"1993","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.1101744,2.20569071415047
"1994","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.0573846,2.85797930433646
"1995","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.08303551,2.48848693135396
"1996","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.01574512,4.15122480299106
"1997","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.1551683,1.86324494467274
"1998","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.106595,2.23871867266563
"1999","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.09210175,2.38486133481562
"2000","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.06494015,2.73428920248565
"2001","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.03072275,3.48275185648002
"2002","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.03120961,3.4670292187724
"2003","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.02140342,3.84420455663897
"2004","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.07070658,2.64921664110336
"2005","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.02511407,3.68432703212929
"2006","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.1668825,1.79046530701734
"2007","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.06464701,2.73881342386705
"2008","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.05413096,2.91634898324831
"2009","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.107161,2.23342290250903
"2010","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.03786344,3.27376927626149
"2011","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.02918818,3.53399144617987
"2012","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.08456038,2.47028944357973
"2013","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.01512654,4.19130446206653
"2014","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.0165356,4.10223964654207
"2015","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.0167437,4.08973321086469
"2016","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",0.03237864,3.43025633285006
"2017","ELK","Elk River","oceantype","fall","ORCST",42.8079,-124.5309,"south","south","south_oceantype","north","north",NA,NA
"1971","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1972","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1973","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1974","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1975","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1976","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1977","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1978","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1979","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1980","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1981","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1982","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",0.02319214,3.76394185081667
"1983","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",0.01771381,4.03341071763172
"1984","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",0.02134581,3.84689981149503
"1985","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",0.005903293,5.13224494817698
"1986","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",0.002929727,5.83284603435557
"1987","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1988","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",0.000205347,8.49080932687222
"1989","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",0.001975725,6.226819859382
"1990","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",0.003198962,5.74492889679741
"1991","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",0.000564654,7.47929740378533
"1992","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",0.004800544,5.3390260341567
"1993","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",0.004993541,5.29961000164092
"1994","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",0.002009769,6.20973548888871
"1995","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1996","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1997","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1998","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1999","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"2000","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"2001","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"2002","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"2003","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"2004","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"2005","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"2006","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"2007","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"2008","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"2009","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"2010","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"2011","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"2012","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",0.004794343,5.34031859776132
"2013","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",9.99e-05,9.21134087230977
"2014","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",0.006513123,5.03393621428989
"2015","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",0.2569028,1.35905747574313
"2016","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",0.02174353,3.82843903696516
"2017","ELW","Elwha River","oceantype","fall","JFUCA",48.1455,-123.566,"south","south","south_oceantype","north","north",NA,NA
"1971","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",NA,NA
"1972","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.007952682,4.83424604871791
"1973","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",NA,NA
"1974","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.03656897,3.30855521238019
"1975","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.005483896,5.20593948172156
"1976","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",NA,NA
"1977","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",NA,NA
"1978","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.05865942,2.83600710296893
"1979","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.009878168,4.61742820951693
"1980","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.004640666,5.3728973885613
"1981","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.03677699,3.30288290111028
"1982","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",NA,NA
"1983","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",NA,NA
"1984","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",NA,NA
"1985","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.02794885,3.57737922512911
"1986","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.01601924,4.1339647791664
"1987","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.02914478,3.53547945597769
"1988","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.003505079,5.65354221951992
"1989","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.002239151,6.10165850281775
"1990","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.000437611,7.73418017006092
"1991","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.001294015,6.65000549100771
"1992","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.00416187,5.4817907864817
"1993","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.008023416,4.82539101262625
"1994","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.001393571,6.57588576149702
"1995","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.002524694,5.9816354117175
"1996","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.02150524,3.83945865261341
"1997","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.003274644,5.72154611809352
"1998","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.01808081,4.01290412413668
"1999","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.01401378,4.26771414774415
"2000","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.01330483,4.31962815178556
"2001","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.01410594,4.26115929371434
"2002","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.02215355,3.80975752445264
"2003","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.01666389,4.09451117610142
"2004","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.008221922,4.80095127729433
"2005","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.02248565,3.7948779510163
"2006","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.01023718,4.58172908792274
"2007","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.0385513,3.255765457103
"2008","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.01046132,4.5600706332786
"2009","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.04971646,3.00141921358717
"2010","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.01817099,4.00792891264281
"2011","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.01367022,4.29253553474008
"2012","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.009203829,4.68813568586036
"2013","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.02545565,3.67081755669556
"2014","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.04100585,3.19404053952924
"2015","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.03613467,3.32050248670898
"2016","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",0.005676227,5.17146852753125
"2017","GAD","George Adams Fall Fingerling","oceantype","fall","HOODC",47.3342,-123.1179,"salish","puget","puget_oceantype","south","salish",NA,NA
"1971","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.007829404,4.84986888937332
"1972","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.006413672,5.0493233171541
"1973","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.05490827,2.90209130428858
"1974","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.02644661,3.63262729524344
"1975","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.09507721,2.35306598063124
"1976","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",NA,NA
"1977","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",NA,NA
"1978","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.01658982,4.09896602474823
"1979","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.042875,3.14946637349603
"1980","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.003553779,5.63974373463841
"1981","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.02068013,3.87858194309474
"1982","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",NA,NA
"1983","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",NA,NA
"1984","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",NA,NA
"1985","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.007330304,4.91573829054658
"1986","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.07765511,2.55547792343937
"1987","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.00270126,5.91403694816021
"1988","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.01691655,4.07946284630386
"1989","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.003350872,5.69853466850948
"1990","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.01502199,4.19824015140886
"1991","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.003829133,5.56511687217249
"1992","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.01389571,4.27617511957601
"1993","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.01445962,4.23639534198825
"1994","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.009148296,4.69418764654577
"1995","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.006933983,4.97132088340965
"1996","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.01064196,4.542950601507
"1997","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.00612029,5.09614579795965
"1998","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.03255381,3.42486086648621
"1999","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.01243319,4.38738576921706
"2000","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.01019491,4.58586670285148
"2001","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.004052635,5.50838799213941
"2002","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.01931239,3.94700842013327
"2003","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.01230881,4.39744001283305
"2004","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.01581495,4.14679958378501
"2005","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.02584371,3.65568803452237
"2006","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.00819445,4.80429818313256
"2007","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.0180062,4.0170391359489
"2008","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.006884183,4.97852881760442
"2009","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.01608666,4.12976492187533
"2010","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.005592134,5.18639431153373
"2011","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.006263242,5.07305733655578
"2012","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.003593607,5.62859884551466
"2013","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.01197326,4.42507944895661
"2014","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.03309746,3.40829873670369
"2015","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.03560842,3.33517315223592
"2016","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",0.04298055,3.14700759120004
"2017","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"salish","puget","puget_oceantype","south","salish",NA,NA
"1971","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",NA,NA
"1972","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",NA,NA
"1973","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",NA,NA
"1974","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",NA,NA
"1975","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",NA,NA
"1976","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",NA,NA
"1977","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",NA,NA
"1978","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",NA,NA
"1979","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",NA,NA
"1980","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",NA,NA
"1981","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",NA,NA
"1982","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",NA,NA
"1983","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",NA,NA
"1984","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",NA,NA
"1985","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",NA,NA
"1986","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",0.007902716,4.84054878112561
"1987","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",0.002056423,6.18678721325103
"1988","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",0.002728703,5.90392887425212
"1989","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",0.00633717,5.06132298242649
"1990","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",0.008701407,4.74427054225961
"1991","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south","south_oceantype","columbia","columbia",0.001797495,6.32136125001411
